cid,text,time,author,channel,votes,photo,heart
Ugy_GQ4yQcoriwWi5VJ4AaABAg,TIM YANG SELALU NONTON TAPI BELI NUNGGU DULU,3 jam yang lalu,@KadekND,UCRs_wnci7Q9hX73h-AWWfFw,726,https://yt3.ggpht.com/jRfBgKumpfEf_1vk53Qu_1m40E0LlS-NylE-JAXpcxR9exbXN3e3AwtbaFDV7FKEzNoMCHOV3SU=s176-c-k-c0x00ffffff-no-rj,False
Ugxa1Va-W9zZG-L_Qmh4AaABAg,"Timestamp :
0:00 Opening
0:24 Disclaimer
1:14 Iklan Kopi Kapal api
2:02 0-1.5 juta
3:33 1.5 juta-2 juta
4:29 2-3 Juta
5:45 3-4 juta
6:30 4-5 juta
7:19 5-6 juta
9:28 8-10 juta
10:34 10 jutaan
11:49 15 juta++
12:29 closing
Akhirnya ada video rekomendasi HP untuk akhir tahun 2023, terimakasih banyak bang david dan tim gadget ini ❤👌😊",2 jam yang lalu,@mochammadariqatillah2000an,UCVmDn-B4lLEpxGLmGvVnNZQ,528,https://yt3.ggpht.com/ADKza4DCKNozyYb4-UaMjz_OThvT0YOldWYGfD0aLImmuWzx7Cdz4gkyaAQqAA5H2EXoWzRzyA=s176-c-k-c0x00ffffff-no-rj,True
Ugzj4sxHBpfoO0zwJNF4AaABAg,"Taun 2019 beli Redmi Note 8 Pro, masih hidup sampe sekarang. 2023 Juni beli iQoo 11 buat HP kedua. Semuanya rekomendasi dari Gadgetin. Makasih bang David & Team ❤❤ Pokoknya mau beli hp lagi pasti mampirnya ke sini dulu 😂😂",22 menit yang lalu,@rafliduatinova,UC8XNkAXvEuGK8wPYEYN6heg,8,https://yt3.ggpht.com/zJhtJ8QvdzH0_rfhl7EwXZr2LTreXo3dJjlbeMNBF3slZ704WT1-xtwaNA0lxMJnZunAU7x1FQ=s176-c-k-c0x00ffffff-no-rj,False
Ugz8CydgBJcHm8jDsxR4AaABAg,"Baiklah waktunya kembali saya istirahat dulu dari bekerja sebagai timestamper gadgetin, bukan berarti saya pensiun ya. Saya memang butuh istirahat sejenak. Terimakasih bang david dan tim gadgetin untuk video rekomendasi HP di akhir tahun 2023, sampai jumpa di tahun 2024. Semoga saya bisa kembali buat timestamp 🙏👍❤😊",2 jam yang lalu,@mochammadariqatillah2000an,UCVmDn-B4lLEpxGLmGvVnNZQ,335,https://yt3.ggpht.com/ADKza4DCKNozyYb4-UaMjz_OThvT0YOldWYGfD0aLImmuWzx7Cdz4gkyaAQqAA5H2EXoWzRzyA=s176-c-k-c0x00ffffff-no-rj,True
Ugy_mytJVs0heoGdiGJ4AaABAg,"nunggu² midrange oppo yg masuk nominasi malah gk ada😂..
launcher n fiturnya enak, banyak custom dan color OS nya gk bikin bosen😁",20 menit yang lalu,@abdullahyusuf8126,UC0yoPF-ofNIyfzCwchEX03A,0,https://yt3.ggpht.com/ytc/AIf8zZS8_3uh-O0UDVwxRzosUMw38np2xPAMem9uq3nhhQ=s176-c-k-c0x00ffffff-no-rj,False
UgzD60HVxCLSrjcpFKx4AaABAg,Video yang ditunggu2 dan jawaban tdk mengecewakan. Yg gaptek maupun ngga gaptek tetep wajib nonton video ko David utk pedoman umum beli HP👍👍👍👍,2 jam yang lalu,@sassymonica,UC5n_T38k11FTQOVbHQWkHdA,16,https://yt3.ggpht.com/BzFZ1swJRrwMr_asuy7BRVn-exjmLT0q2YSStFfjWECjDb-RYXQCh7lug0wgpblswfufqHOCYg=s176-c-k-c0x00ffffff-no-rj,False
UgwaC3a1T6bRRq3vq2l4AaABAg,"Msh setia dgn Oppo Reno 6 yg lahir 2021 msh ok lumayan enak smpi skrng 2023. Kamera mantap, super charger cukup lah utk smtra 😊😉😆",38 menit yang lalu,@nopemborneo708,UCIyvWXN3l0B03OLcSmg3x-g,2,https://yt3.ggpht.com/ytc/AIf8zZRv8gP7txYTY3Hgu5SjzLK8jeAJGCfRe_Utww=s176-c-k-c0x00ffffff-no-rj,False
UgwCsljF0Eag2UPEhv14AaABAg,"Akhirnya setelah sekian lama menunggu , dibuatin juga!
Walaupun gak akan beli sih , suka aja lihat hp pilihan Bang David di GadgetIn😅",3 jam yang lalu,@ridwantricks,UCT4Bh0aVcF1rsQ9Lo40bhhg,92,https://yt3.ggpht.com/ytc/AIf8zZRgeSzy_MI0b9El0awW6x0JMKuD6EumVRr1sq8F-w=s176-c-k-c0x00ffffff-no-rj,False
UgyCv0vIFSAw_PROC994AaABAg,Selalu nungguin review2 dri bang david... GadgetIn sukses teruss lah❤❤,2 jam yang lalu,@Oke_Ozan,UCo8WZ__Rlo6TB5ujEQhz0jQ,7,https://yt3.ggpht.com/PaLdlKuITBdVvtJPsizcddBx_12cRCNqBSlRmm4IBd5CmeanmKqllkqbETdEACBQPH2AqmJP_w=s176-c-k-c0x00ffffff-no-rj,False
UgyzyCa0sdzwq17lPAl4AaABAg,Akhirnya sekian lama nunggu ni video rilis alhamdulillah dah kebeli aja ni kopi kapal api nya❤,1 jam yang lalu,@BocilWindahGT,UC_MK-sbZwgfiZFqBBs1QZ2A,3,https://yt3.ggpht.com/A5JDdYkwniPnibcxf5bkxs2dMzIRiqhpfhTrRY_3vmggZKMC4DTyydnAgv_VbefLJlt_4KLq0Q=s176-c-k-c0x00ffffff-no-rj,False
Ugz_S0O8kU-YU2At15J4AaABAg,"Menurut ane IQOO 11 bisa jadi pertimbangan di range harga 8-10 jt bang, fast charging sama layar LTPO Amoled nya terutama 👍",2 jam yang lalu,@rasyidniyazi7648,UCjJfmv4CYi8FPkdytTE-11A,18,https://yt3.ggpht.com/ytc/AIf8zZQCpcwTa3Nj7h2l2YHv-BYn_17AMl6ex3AX2xTDDg=s176-c-k-c0x00ffffff-no-rj,False
UgxKo1-NF_wXve8U05t4AaABAg,Percayalah Video David tentang rekomendasi hp terbaik untuk tahun 2023 ini bakalan trending 1 Youtube!!! Semangat David GadgetIn & Team yang bertugas. Kalian semua luar biasa ✺◟( ͡° ͜ʖ ͡°)◞✺,2 jam yang lalu,@eunlightemperor6618,UCEBIGR8ZSwB4uMF9fHQhgog,19,https://yt3.ggpht.com/bAyZ7NVUQstiL2cyBiK1JaSfzvz80c53KUR0RrGKZxewvZguvvoF1fRR4vn8kaiOOsaosYIVxQ=s176-c-k-c0x00ffffff-no-rj,False
UgxyROwyjvrWJrnMGu94AaABAg,"Diupdate lagi bang harga-harganya, udah banyak yg turun. Versi ane menurut harga yg terbaru saat ini.
0-1,5 juta: poco M5
1,5-2 juta: infinix note 30
2-3 juta: iqoo Z7x
3-4 juta: infinix GT 10 pro
4-5 juta: poco F5
5-6 juta: samsung A54
6-8 juta: xiaomi 13T
8-10 juta: asus zenfone 10
10-12 juta: iphone 13
Unlimited: samsung Z fold 5",30 menit yang lalu (diedit),@lintangramadhan1984,UCE9yXg71GpsilUAWCFeKzvQ,7,https://yt3.ggpht.com/ytc/AIf8zZRmUJPLRSRL1b2XJHFNQvdQEU6z0vS8jS9XtzKD6A=s176-c-k-c0x00ffffff-no-rj,False
Ugx9TCIDF8891QE_eKt4AaABAg,"1 hal kelebihan david yaitu JUJUR apa adanya bagus bagus jelek jelek sebuah hp , itu yg di yakinin penonton sebelum membeli hp tsb",2 jam yang lalu (diedit),@airosmawati6284,UCJPLvVgQ36R_Xacbffr5f1g,14,https://yt3.ggpht.com/ytc/AIf8zZTaU7iFf2g8qkz3JWmoWa6sZ-WdSh3AsffnfqrtwJz40SB63RocnxBpaOu063ks=s176-c-k-c0x00ffffff-no-rj,False
UgzTEl_f3kH1rduHpfN4AaABAg,"Akhirnya poco m4 pro yg gw pegang, istirahat dari juara bertahan kelas 3-4jt setelah 2x masuk rekomendasi di harga tsb.",1 jam yang lalu,@rizkiadrian3050,UCwbpWHRbLrK9CBjV-El-Aiw,2,https://yt3.ggpht.com/ytc/AIf8zZTjQwTIIJRNglNXi22LGHuKVjrOKU7vAzyeprOAtw=s176-c-k-c0x00ffffff-no-rj,False
UgwLZFb4GUEx3WupW-B4AaABAg,"Alhamdulillah bisa beli samsung s23 FE, walaupun memang bener gampang panas, tapi overall nyaman banget dipake ✨️",20 menit yang lalu,@agitbagus2747,UCn8eNU9ofE_swHEMNV28pQQ,1,https://yt3.ggpht.com/ytc/AIf8zZQGaWEzHB6KyTMLUXKZOzxQ4h_SnBdDZChQ614SpA=s176-c-k-c0x00ffffff-no-rj,False
UgzTYrHXJGgLJ7A_PHt4AaABAg,"Infinix note 30 & tecno pova 5 bisa dimasukin ke under 2jt sih ini. Ada beberapa yang jual dibawah 2jt soalnya 😅 lalu realme 10 Pro 5G kemarin dijual di official store lazada 2,5jt an wah 1212 lazada gokil parah sih",1 jam yang lalu (diedit),@andaruqurano1815,UCZkLrDY4rqDRK8h3H-tU_HQ,10,https://yt3.ggpht.com/ytc/AIf8zZSClc0yeeu1e2pEULNdXiVjG6qWczmKATENGY0wjQ=s176-c-k-c0x00ffffff-no-rj,False
UgwrLEWXzO7GG-WK6kR4AaABAg,"Penonton setia hadirr, bangga bet selalu ngikutin gadjet in soalnya reviewnya jujur gk bohong 💫",18 menit yang lalu,@joan_0901,UCz_94HG4wGkpDge7p8DOB_A,0,https://yt3.ggpht.com/ebd5SQV3zXuKRG-i1noKIWtu2vzb5xoKovjvuFkyvhiipfu6x77QA3z1kuGHWRMF1on7R4Viow=s176-c-k-c0x00ffffff-no-rj,False
UgwUGdNVbstzY69wW-R4AaABAg,"Ga kerasa kaya baru kemaren nonton rekomendasi hp akhir tahun 2022, sekarang udh akhir 2023. Begitu cepat waktu berlalu, terimakasih 2023 see u later!",2 jam yang lalu,@evandanisworo6213,UCiL6_hDdoZt9oSaCkyfYc0g,2,https://yt3.ggpht.com/ytc/AIf8zZQ0reqUPBv6gj_vobA1fiDR8jPOKAY7qIdRvjZJig=s176-c-k-c0x00ffffff-no-rj,False
Ugx597gcp7EW0lvuROh4AaABAg,"diantara chanel"" riview hp cuma nih chanel yg recommended banget buat cari info pas mau beli hp.
teasuk hp realme 8 pro yg saya pke sekarang 😁👌",1 jam yang lalu,@kangfotokopi4529,UCLFcxOCdnZYirWOdy1sXq2w,5,https://yt3.ggpht.com/zWnYjmqwkB_IbU-F6QKHNim7Qut6VN-Jyx8QWat7CBVgCEsYVyUwMoaE3rZvkBM7gQmwYJed=s176-c-k-c0x00ffffff-no-rj,False
Ugy_GQ4yQcoriwWi5VJ4AaABAg,TIM YANG SELALU NONTON TAPI BELI NUNGGU DULU,3 jam yang lalu,@KadekND
Ugxa1Va-W9zZG-L_Qmh4AaABAg,"Timestamp :
0:00 Opening
0:24 Disclaimer
1:14 Iklan Kopi Kapal api
2:02 0-1.5 juta
3:33 1.5 juta-2 juta
4:29 2-3 Juta
5:45 3-4 juta
6:30 4-5 juta
7:19 5-6 juta
9:28 8-10 juta
10:34 10 jutaan
11:49 15 juta++
12:29 closing
Akhirnya ada video rekomendasi HP untuk akhir tahun 2023, terimakasih banyak bang david dan tim gadget ini ❤👌😊",2 jam yang lalu,@mochammadariqatillah2000an
Ugzj4sxHBpfoO0zwJNF4AaABAg,"Taun 2019 beli Redmi Note 8 Pro, masih hidup sampe sekarang. 2023 Juni beli iQoo 11 buat HP kedua. Semuanya rekomendasi dari Gadgetin. Makasih bang David & Team ❤❤ Pokoknya mau beli hp lagi pasti mampirnya ke sini dulu 😂😂",23 menit yang lalu,@rafliduatinova
